"","3dprinting","academia","ai","android","anime","apple","arduino","astronomy","aviation","avp","beer","bicycles","bioinformatics","biology","bitcoin","blender","boardgames","bricks","buddhism","cardano","chemistry","chess","chinese","christianity","civicrm","codegolf","codereview","coffee","cogsci","computergraphics","conlang","cooking","craftcms","crafts","crypto","cs","cseducators","cstheory","datascience","dba","devops","diy","drones","drupal","dsp","earthscience","ebooks","economics","electronics","elementaryos","ell","emacs","engineering","english","eosio","esperanto","ethereum","expatriates","expressionengine","fitness","freelancing","french","gamedev","gardening","genealogy","german","gis","graphicdesign","ham","hardwarerecs","health","hermeneutics","hinduism","history","homebrew","hsm","interpersonal","iota","islam","italian","japanese","joomla","judaism","korean","languagelearning","latin","law","lifehacks","linguistics","literature","magento","martialarts","materials","math","matheducators","mathematica","mechanics","moderators","money","movies","music","musicfans","mythology","physics","pm","poker","politics","portuguese","pt","puzzling","quant","quantumcomputing","raspberrypi","retrocomputing","reverseengineering","robotics","rpg","ru","rus","russian","salesforce","scicomp","scifi","security","sharepoint","sitecore","skeptics","softwareengineering","softwarerecs","sound","space","spanish","sports","sqa","stackapps","stats","stellar","superuser","sustainability","tex","tezos","tor","travel","tridion","ukrainian","unix","ux","vegetarianism","vi","webapps","webmasters","windowsphone","woodworking","wordpress","workplace","worldbuilding","writers","index"
"57",1927,22747,3949,14022,3528,26155,7361,5085,9844,2294,453,9377,1280,7193,8117,19348,5847,988,5883,258,13141,4202,2768,11620,3570,17382,26136,585,2657,1392,209,10759,3101,886,12536,16556,1304,4666,10391,25729,1582,22957,270,21459,9202,2167,450,4992,25125,1789,20845,5364,4202,20679,482,452,8703,2340,3176,5779,1269,5169,19766,5490,1749,6757,26524,11729,1998,1177,2162,10383,5384,6551,2689,1145,5193,244,5121,961,5964,2250,9522,470,636,1521,8424,1408,3211,1883,21891,1963,835,28761,2974,21087,8979,449,18817,6714,15320,636,726,24639,4859,1398,8526,932,34409,12311,6034,2597,10298,3324,2530,2216,23181,3432,93,1072,29630,3983,18098,22834,25441,2963,4187,23728,5418,4080,7220,3167,1747,4669,716,28545,335,26177,1114,26512,318,1429,15883,2246,81,26639,16629,317,3657,7751,11670,787,1926,28289,24073,20328,9009,57
"58",1905,22483,3922,13873,3499,25887,7280,5030,9763,2268,446,9263,1268,7130,8041,19128,5781,980,5826,258,13001,4157,2736,11430,3516,17493,25874,581,2640,1371,208,10674,3071,880,12373,16423,1287,4618,10217,25480,1564,22743,267,21139,9108,2149,448,4950,24793,1776,20548,5328,4167,20410,471,451,8875,2306,3107,5720,1255,5096,19563,5446,1731,6646,25932,11603,1989,1170,2135,10266,5342,6507,2646,1135,5125,243,5057,955,5866,2221,9431,462,628,1501,8324,1395,3190,1856,21263,1949,828,28447,2933,20817,8863,444,18640,6651,15103,633,717,24343,4809,1377,8451,923,33927,12119,5983,2570,10150,3297,2489,2196,22855,3385,89,1060,29350,3930,17894,22616,25513,2932,4343,23490,5350,4054,7165,3118,1723,4632,711,28185,329,25893,1108,26229,316,1409,15743,2223,79,26247,16460,315,3617,7614,11509,781,1907,27961,23756,20136,8900,58
"59",1881,22255,3880,13733,3467,25600,7173,4970,9666,2249,442,9160,1253,7062,7931,18891,5715,969,5761,256,12874,4087,2682,11285,3483,17005,25585,578,2616,1363,198,10570,3038,876,12234,16287,1267,4576,10099,25233,1545,22436,267,20806,9034,2127,439,4902,24482,1747,20233,5252,4134,20143,469,450,8763,2274,3082,5661,1248,5030,19375,5386,1724,6571,25531,11441,1974,1163,2119,10150,5291,6446,2614,1123,5053,235,4992,946,5806,2210,9343,453,618,1497,8250,1385,3167,1837,21345,1921,819,28195,2877,20539,8761,441,18447,6573,14906,626,706,24110,4771,1359,8380,915,33439,11978,5932,2542,10031,3263,2471,2164,22527,3293,63,1043,28929,3874,17757,22426,25105,2903,4299,23234,5291,4023,7093,3090,1708,4567,708,27755,325,25636,1102,25902,315,1388,15590,2190,78,25940,16315,313,3583,7523,11350,780,1869,27663,23479,19979,8756,59
"60",1874,22054,3822,13615,3446,25361,7094,4920,9562,2227,436,9083,1233,7002,7849,18651,5651,962,5677,255,12736,4039,2638,11127,3454,17409,25272,572,2604,1351,195,10482,3008,867,12138,16140,1257,4527,9956,24867,1514,22183,266,20531,8919,2105,427,4862,24174,1713,19992,5190,4090,19847,464,446,8617,2266,3039,5585,1231,4963,19185,5343,1707,6477,25103,11349,1953,1158,2097,10043,5245,6400,2585,1118,4979,235,4934,927,5739,2199,9246,451,607,1487,8192,1372,3146,1811,21119,1905,812,27938,2836,20225,8661,436,18252,6505,14728,615,698,23880,4680,1349,8305,899,32933,11870,5885,2519,9883,3235,2454,2148,22248,3119,62,1031,28113,3819,17601,22191,24806,2552,4265,22948,5233,3973,7049,3026,1694,4521,702,27419,318,25340,1087,25638,314,1379,15444,2155,77,25634,16163,312,3532,7412,11198,765,1839,27385,23239,19807,8656,60
"61",1586,21834,3786,13502,3419,25110,7012,4841,9438,2211,429,8943,1216,6943,7775,18406,5591,957,5581,249,12642,3994,2604,10976,3410,17206,24981,557,2581,1337,193,10380,2982,863,12032,15978,1249,4499,9792,24594,1487,21895,261,20274,8797,2088,421,4821,23870,1697,19743,5105,4036,19507,455,444,8503,2242,3016,5503,1219,4888,19006,5295,1696,6378,24679,11233,1938,1148,2078,9941,5193,6352,2566,1112,4914,232,4870,925,5671,2182,9138,449,600,1478,8108,1362,3102,1783,20847,1896,799,27672,2790,19920,8545,431,18055,6441,14567,610,691,23639,4644,1339,8230,892,32524,11766,5826,2489,9763,3181,2430,2130,21983,3195,74,1018,28000,3770,17466,21973,24475,2830,4210,22672,5187,3920,6997,2985,1687,4454,691,26998,314,25066,1073,25411,313,1356,15303,2124,76,25372,16018,309,3496,7333,11089,751,1809,27076,22906,19622,8565,61
"62",1839,21608,3766,13391,3386,24579,6935,4811,9347,2192,423,8860,1206,6877,7675,18182,5544,951,5534,245,12524,3950,2584,10821,3376,16989,24628,551,2549,1322,193,10273,2962,860,11908,15833,1241,4473,9658,24326,1473,21636,259,19710,8705,2066,419,4785,23615,1676,19508,5066,3992,19125,445,439,8382,2227,2984,5453,1207,4842,18847,5236,1680,6283,24358,11088,1916,1134,2065,9826,5121,6293,2527,1105,4850,231,4817,917,5581,2163,9058,434,593,1468,8048,1347,3063,1769,20558,1880,792,27413,2742,19645,8445,421,17858,6402,14423,609,688,23408,4583,1308,8157,879,32027,11592,5772,2466,9654,3163,2408,2110,21657,3078,75,1005,27544,3674,17338,21764,24181,2790,4171,22410,5119,3866,6956,2940,1673,4395,683,26633,307,24788,1062,25100,302,1315,15180,2102,75,25066,15868,305,3459,7216,10941,748,1792,26744,22650,19439,8457,62
"63",1819,21374,3722,12990,3359,24613,6873,4747,9251,2180,421,8791,1199,6800,7599,17947,5493,940,5488,245,12412,3893,2559,10679,3330,16470,24358,547,2532,1315,193,10182,2939,851,11773,15708,1222,4443,9525,24055,1454,21446,258,19839,8603,2046,412,4753,23369,1664,19245,5034,3958,18755,440,438,8272,2206,2953,5381,1191,4796,18665,5189,1662,6168,23984,10983,1900,1123,2041,9696,5082,6247,2499,1100,4778,223,4755,902,5498,2139,8964,432,591,1461,7972,1335,3035,1755,20315,1855,778,27170,2714,19437,8334,410,17698,6353,14223,607,686,23217,4545,1297,8093,875,31598,11206,5704,2441,9582,3134,2390,2090,21349,3105,85,995,26768,3595,17228,21515,23920,2745,4138,22184,5070,3802,6897,2893,1658,4342,673,26227,304,24536,1061,24822,299,1304,14995,2060,75,24785,15714,302,3410,7116,10817,742,1768,26457,22410,19274,8365,63
"64",1797,21152,3675,13121,3333,24347,6807,4693,9159,2158,418,8698,1195,6746,7535,17750,5437,931,5424,245,12287,3845,2531,10550,3285,16299,24026,546,2521,1296,187,10098,2922,843,11646,15553,1207,4398,9395,23789,1429,21227,258,19597,8521,2021,410,4724,23087,1616,18989,4955,3928,18488,434,433,8178,2189,2935,5313,1178,4728,18470,5129,1653,6084,23695,10895,1882,1122,2025,9626,5031,6206,2492,1092,4710,222,4716,885,5411,2088,8884,420,588,1449,7915,1319,3017,1736,20032,1828,767,26900,2681,19131,8211,406,17505,6309,14064,603,682,22953,4513,1291,8022,867,31084,10853,5666,2425,9491,3112,2359,2082,21124,3105,70,981,26321,3573,17089,21318,23635,2718,4104,21960,5030,3755,6829,2854,1654,4310,668,25844,301,24308,1050,24594,296,1291,14862,2042,74,24474,15584,299,3381,7042,10693,738,1748,26178,22078,19131,8287,64
"65",1788,20906,3632,12982,3305,24135,6744,4657,9071,2138,414,8605,1189,6688,7469,17539,5370,929,5375,241,12161,3789,2496,10435,3239,16398,23714,543,2508,1280,186,10041,2885,834,11532,15427,1202,4375,9274,23517,1404,21016,257,19394,8401,2003,409,4688,22826,1583,18728,4913,3888,18217,423,426,8082,2166,2903,5255,1169,4660,18330,5096,1642,6012,23374,10781,1873,1110,2017,9540,4966,6166,2465,1085,4649,222,4641,877,5342,2065,8780,409,580,1436,7819,1305,2970,1720,19780,1818,755,26666,2651,18925,8133,404,17341,6249,13907,599,680,22736,4474,1275,7952,858,30693,11201,5633,2387,9368,3090,2319,2070,20860,2947,57,976,25531,3525,16945,21131,23351,2497,4073,21727,4983,3713,6777,2831,1646,4274,658,25460,299,24091,1046,24404,295,1278,14753,2032,61,24206,15420,296,3338,6979,10561,732,1724,25889,21759,18984,8208,65
"66",1774,20706,3590,12907,3277,23943,6672,4604,8982,2125,408,8524,1164,6648,7402,17360,5321,911,5307,237,12043,3745,2473,10346,3214,16199,23363,537,2488,1253,184,9951,2872,828,11433,15281,1189,4343,9175,23303,1392,20808,256,19183,8282,1987,405,4648,22599,1552,18523,4861,3860,17933,420,409,7959,2141,2881,5204,1159,4562,18173,5056,1631,5913,23052,10683,1851,1101,2009,9444,4918,6106,2435,1077,4590,222,4587,868,5297,2053,8707,407,580,1414,7733,1291,2919,1708,19505,1802,739,26387,2622,18708,8040,400,17187,6197,13762,594,670,22481,4442,1256,7912,847,30303,11064,5594,2370,9276,3054,2298,2060,20635,2941,49,948,25141,3482,16785,20946,23089,2653,4025,21535,4932,3658,6712,2797,1628,4235,651,25104,295,23896,1038,24178,295,1257,14612,2015,73,23958,15274,293,3302,6627,10467,725,1696,25596,21471,18833,8108,66
"67",1751,20506,3568,12810,3234,23741,6616,4550,8892,2113,406,8426,1154,6573,7343,17123,5260,905,5223,228,11935,3681,2442,10248,3193,15732,23050,533,2463,1238,181,9860,2849,827,11330,15143,1174,4299,9070,23061,1382,20620,252,18977,8199,1968,398,4607,22385,1520,18296,4824,3802,17702,406,406,7881,2125,2841,5115,1146,4488,18020,5001,1621,5826,22783,10589,1832,1091,1887,9372,4869,6050,2413,1069,4504,220,4548,860,5238,2020,8630,402,573,1391,7660,1284,2884,1687,19318,1788,736,26114,2595,18463,7962,398,17029,6151,13603,588,664,22268,4400,1234,7645,834,29868,10931,5536,2347,9191,3027,2278,2042,20426,2937,69,933,25050,3448,16677,20758,22471,2625,3978,21315,4885,3622,6660,2762,1618,4197,644,24728,293,23700,1032,23972,291,1241,14476,2002,73,23687,15132,289,3258,6821,10364,714,1676,25260,21159,18696,8002,67
"68",1734,20314,3540,12706,3216,23529,6567,4513,8810,2090,401,8355,1145,6536,7283,16951,5196,898,5136,224,11845,3606,2418,10144,3158,15587,22775,524,2441,1228,181,9762,2830,815,11236,15014,1161,4276,8992,22829,1374,20415,249,18762,8081,1954,398,4583,22131,1504,18104,4782,3761,17448,397,403,7792,2106,2808,5044,1135,4418,17819,4956,1607,5776,22455,10460,1824,1081,1971,9271,4832,6011,2375,1062,4439,217,4479,855,5186,2006,8544,400,562,1372,7596,1279,2866,1676,19133,1768,722,25849,2540,18302,7869,395,16866,6122,13469,582,657,22025,4376,1207,7775,831,29403,10815,5485,2326,9108,3011,2248,2024,20201,2872,59,922,24671,3410,16573,20540,22208,2618,3949,21101,4833,3585,6600,2745,1611,4134,635,24429,289,23234,1025,23813,289,1231,14340,1917,72,23499,14987,288,3233,6723,10260,706,1646,24957,20918,18537,7903,68
"69",1727,20130,3485,12591,3182,23336,6500,4465,8721,2082,400,8269,1125,6488,7233,16783,5149,890,5098,221,11734,3556,2386,10037,3138,15139,22485,519,2420,1214,178,9690,2799,812,11131,14897,1151,4240,8873,22596,1368,20220,248,18603,7995,1926,395,4551,21917,1484,17847,4733,3728,17183,391,395,7462,2082,2793,4958,1115,4302,17711,4904,1595,5694,22108,10387,1808,1075,1944,9194,4780,5961,2343,1049,4398,214,4433,828,5130,1975,8437,394,547,1356,7536,1277,2850,1661,18910,1756,716,25601,2507,18080,7781,395,16674,5877,13316,576,651,21836,4343,1197,7708,828,29052,10712,5443,2309,9035,2996,2232,2003,20007,2829,56,912,24491,3374,16447,20338,22265,2598,3918,20929,4796,3551,6540,2712,1588,4081,627,24084,286,23326,1020,23586,289,1221,14235,1936,71,23282,14885,282,3196,6647,10165,692,1634,24666,20634,18398,7816,69
"70",1716,19922,3400,12481,3162,23122,6437,4423,8655,2062,395,8211,1118,6425,7168,16596,5103,884,5045,221,11620,3505,2373,9962,3115,15311,22232,514,2391,1209,178,9613,2766,804,11020,14749,1143,4211,8720,22319,1348,20029,244,18390,7880,1903,393,4513,21700,1466,17680,4686,3687,16975,387,393,7621,2062,2764,4914,1097,4218,17545,4845,1579,5625,21873,10267,1790,1068,1929,9105,4714,5923,2309,1043,4370,213,4389,807,5070,1957,8365,383,536,1350,7472,1262,2825,1635,18734,1742,712,25346,2473,17835,7705,393,16541,6021,13165,569,647,21624,4299,1188,7635,824,28651,10607,5403,2295,8950,2962,2208,1980,19785,2795,62,901,24084,3338,16325,20176,22010,2573,3878,20730,4767,3520,6479,2690,1576,4024,623,23821,285,23177,1007,23367,287,1214,14081,1922,70,23011,14757,277,3166,6568,10066,682,1618,24324,20434,18262,7745,70
"71",1690,19706,3375,12334,3149,22939,6367,4377,8552,2049,389,8149,1110,6371,7100,16415,5055,876,4996,220,11505,3463,2341,9867,3081,14857,21961,512,2381,1199,177,9533,2741,794,10908,14587,1133,4183,8584,22068,1339,19856,242,18189,7766,1890,391,4478,21481,1442,17490,4643,3651,16735,379,386,7555,2040,2714,4862,1086,4171,17323,4797,1571,5537,21549,10193,1785,1055,1915,9029,4669,5869,2293,1037,4331,212,4361,791,5010,1931,8282,381,533,1337,7400,1255,2793,1620,18483,1723,694,25093,2435,17604,7630,385,16385,5957,13012,561,641,21426,4268,1175,7579,809,28349,10484,5358,2285,8863,2945,2192,1961,19557,2764,54,881,23711,3290,16192,20005,21457,2547,3850,20538,4721,3503,6415,2675,1566,3973,619,23507,284,23002,1003,23165,285,1205,13971,1909,70,22803,14629,275,3135,6483,9969,679,1600,24062,20196,17949,7665,71
"72",1674,19516,3337,12209,3132,22748,6315,4349,8476,2031,387,8064,1092,6319,7046,16259,5007,873,4964,216,11417,3411,2324,9782,3042,15225,21719,507,2356,1191,175,9458,2726,788,10803,14462,1114,4160,8487,21814,1329,19683,242,18006,7707,1869,384,4453,21273,1430,17305,4602,3625,16503,374,385,7223,2023,2690,4801,1068,4097,17180,4730,1557,5452,21324,10094,1776,1049,1896,8960,4626,5822,2262,1028,4300,209,4321,778,4956,1912,8201,380,510,1319,7339,1241,2761,1611,18237,1713,675,24842,2412,17388,7552,384,16237,5901,12839,558,630,21250,4221,1158,7492,804,28082,10358,5317,2263,8800,2927,2175,1945,19348,2664,64,877,23149,3253,16073,19861,21443,2507,3815,20338,4688,3468,6348,2653,1559,3926,602,23166,282,22862,991,22968,284,1194,13849,1894,70,22606,14524,274,3106,6417,9872,676,1579,23725,19961,17997,7600,72
"73",1665,19361,3300,12108,3112,22570,6259,4317,8383,2020,387,7989,1083,6258,6984,16067,4957,864,4912,215,11278,3360,2306,9696,3003,14759,21415,500,2343,1175,175,9389,2698,787,10726,14312,1107,4116,8369,21604,1312,19479,238,17844,7633,1843,383,4424,21060,1411,17115,4550,3600,16284,370,378,7385,2002,2662,4757,1058,4054,17017,4675,1544,5388,21046,10015,1766,1045,1885,8876,4584,5788,2241,1017,4253,205,4273,767,4884,1879,8133,377,505,1301,7278,1228,2731,1599,17802,1704,666,24610,2387,17135,7487,382,16050,5867,12714,555,628,21043,4189,1154,7437,791,27784,10266,5278,2235,8728,2897,2155,1921,19110,2669,34,871,22738,3217,15957,19721,20929,2489,3780,20163,4647,3433,6256,2622,1553,3882,601,22831,279,22691,986,22722,282,1172,13721,1875,58,22455,14367,273,3066,6363,9806,675,1555,23438,19700,17865,7525,73
"74",1650,19182,3250,11999,3096,22119,6200,4274,8299,2011,375,7931,1078,6202,6918,15925,4919,848,4889,212,11173,3309,2294,9607,2963,14848,21174,497,2331,1156,172,9306,2678,784,10590,14189,1097,4084,8280,21384,1301,19305,236,17669,7569,1830,380,4396,20879,1396,16967,4517,3571,16091,364,372,7290,1985,2648,4702,1052,4011,16845,4627,1530,5319,20816,9950,1760,1040,1864,8796,4543,5748,2224,1012,4221,204,4212,764,4810,1862,8070,374,499,1285,7234,1226,2703,1589,17914,1689,661,24414,2343,16936,7419,377,15884,5827,12575,550,619,20858,4155,1148,7370,774,27428,10157,5240,2194,8657,2866,2140,1912,18949,2513,58,866,22078,3177,15860,19568,21008,2464,3756,19969,4613,3407,6217,2612,1537,3851,590,22543,272,22547,980,22512,281,1166,13620,1855,68,22240,14266,271,3044,6315,9714,666,1536,23152,19510,17727,7450,74
"75",1644,19039,3191,11903,3064,22209,6149,4233,8208,2002,372,7888,1072,6164,6857,15764,4870,844,4836,209,11089,3269,2269,9530,2945,14663,20921,493,2314,1150,171,9226,2661,783,10514,14034,1084,4061,8213,21156,1286,19113,234,17521,7507,1817,377,4371,20700,1390,16815,4466,3554,15902,364,368,6981,1967,2616,4667,1046,3967,16709,4573,1516,5259,20557,9861,1745,1037,1855,8724,4514,5706,2196,1007,4177,203,4175,758,4722,1845,7984,367,496,1270,7204,1218,2685,1579,17698,1678,647,24134,2307,16753,7367,375,15729,5776,12430,545,617,20715,4116,1138,7321,763,27103,10030,5193,2174,8577,2849,2126,1895,18580,2588,41,863,22220,3149,15737,19436,20754,2433,3733,19754,4587,3372,6161,2581,1527,3811,589,22289,270,22392,977,22325,280,1158,13504,1832,68,22049,14109,270,3023,6009,9628,656,1524,22829,19277,17595,7373,75
"76",1626,18880,3150,11809,3054,22002,6093,4209,8108,1990,367,7822,1064,6122,6806,15645,4818,836,4797,209,10984,3245,2249,9439,2906,14291,20701,489,2295,1141,171,9164,2644,775,10421,13905,1078,4022,8099,20962,1278,18971,233,17359,7424,1797,375,4343,20507,1371,16677,4426,3518,15684,362,364,6941,1954,2604,4612,1036,3924,16567,4518,1502,5181,20309,9773,1729,1021,1845,8654,4483,5672,2184,1001,4130,200,4149,745,4666,1824,7923,363,489,1252,7167,1206,2663,1565,17464,1662,643,23885,2293,16548,7299,371,15541,5716,12309,541,610,20516,4086,1114,7258,757,26786,9919,5158,2160,8477,2832,2107,1887,18603,2567,60,858,21935,3101,15631,19286,20197,2406,3715,19581,4549,3336,6105,2565,1511,3774,584,22040,270,22244,972,22091,279,1149,13321,1820,68,21874,13977,268,3001,6224,9513,648,1511,22574,19073,17457,7299,76
"77",1619,18743,3125,11721,3018,21804,6053,4174,8033,1972,362,7783,1058,6074,6759,15498,4775,832,4726,203,10881,3207,2234,9353,2887,13882,20439,483,2282,1132,169,9087,2615,768,10334,13781,1065,3994,7983,20726,1270,18830,232,17199,7347,1782,370,4301,20331,1286,16482,4390,3491,15523,359,361,6870,1941,2580,4563,1032,3876,16434,4470,1497,5102,20090,9715,1714,1018,1829,8555,4450,5631,2173,993,4072,198,4112,739,4617,1805,7850,362,479,1240,7113,1200,2643,1552,17309,1644,640,23687,2273,16382,7243,370,15369,5663,12188,536,606,20346,4056,1102,7207,751,26516,9850,5126,2150,8397,2806,2085,1874,18413,2551,32,848,21679,3080,15531,19171,19591,2388,3690,19382,4502,3313,5853,2538,1503,3721,584,21821,268,22105,962,21901,267,1141,13289,1806,68,21686,13839,266,2963,6145,9450,633,1497,22278,18850,17347,7217,77
"78",1609,18600,3092,11603,3006,21644,6004,4117,7984,1955,362,7723,1044,6029,6704,15330,4727,829,4678,202,10769,3175,2215,9265,2858,14201,20234,481,2265,1121,169,9028,2598,762,10250,13625,1051,3962,7891,20474,1264,18699,231,17054,7272,1758,368,4264,20167,1343,16334,4361,3465,15377,357,360,6802,1917,2550,4526,1029,3835,16086,4429,1487,5023,19876,9637,1701,1008,1820,8483,4419,5592,2157,982,4034,198,4076,726,4567,1789,7774,361,473,1233,7046,1192,2625,1530,17142,1626,631,23474,2257,16227,7184,370,15241,5620,12056,534,602,20185,4033,1092,7170,742,26229,9734,5091,2138,8316,2791,2076,1850,18213,2524,56,841,21196,3051,15421,19060,19647,2371,3674,19244,4464,3275,5978,2519,1496,3686,577,21562,265,21954,948,21708,263,1134,13180,1785,66,21537,13771,265,2934,6085,9366,630,1491,22049,18674,17234,7155,78
"79",1591,18423,3068,11515,2987,21473,5963,4071,7904,1946,359,7670,1042,5988,6637,15192,4679,826,4633,201,10680,3142,2185,9189,2827,13844,20019,478,2249,1111,165,8967,2565,757,10158,13496,1041,3940,7812,20314,1250,18557,231,16657,7201,1743,368,4218,20007,1336,16158,4338,3427,15209,351,355,6950,1913,2518,4467,1023,3798,16158,4383,1469,4967,19688,9547,1692,1001,1797,8406,4389,5531,2143,976,4003,193,4038,720,4515,1771,7728,357,473,1220,6992,1177,2600,1521,16734,1617,626,23222,2236,16053,7123,367,15131,5574,11923,529,595,20037,4001,1081,7115,738,25933,9439,5043,2118,8238,2781,2062,1840,18060,2388,58,834,20919,3027,15328,18896,19670,2344,3653,19083,4410,3260,5933,2480,1480,3656,573,21299,262,21812,934,21508,259,1126,12869,1765,66,21385,13638,264,2895,6012,9295,622,1479,21809,18499,17128,7090,79
"80",1581,18293,3037,11198,2964,21314,5932,4041,7837,1936,357,7622,1028,5935,6588,15051,4574,823,4582,199,10581,3090,2158,9115,2791,13466,19803,471,2238,1104,163,8904,2547,754,10041,13364,1030,3920,7728,20101,1236,18402,229,16758,7151,1730,366,4194,19874,1314,16006,4303,3401,15079,350,351,6629,1900,2498,4420,1014,3760,16026,4338,1450,4918,19499,9474,1665,995,1787,8330,4355,5483,2123,969,3978,191,4008,717,4450,1758,7661,354,472,1215,6949,1167,2575,1511,16582,1606,618,23004,2220,15903,7076,365,14980,5498,11776,526,589,19879,3971,1078,7068,729,25642,9546,4997,2085,8173,2747,2048,1835,17903,2377,63,827,20882,2998,15236,18778,19406,2323,3623,18937,4373,3236,5885,2443,1468,3629,570,21036,260,21680,929,21322,259,1119,12935,1749,66,21215,13513,263,2870,5938,9230,619,1462,21509,18319,16982,7014,80
"81",1568,18144,2995,11331,2945,21142,5899,4007,7783,1925,355,7557,1015,5899,6536,14885,4606,816,4547,195,10453,3047,2139,9025,2770,13587,19565,468,2219,1099,162,8843,2525,753,9958,13215,1025,3885,7640,19903,1229,18243,226,16623,7098,1717,366,4169,19683,1304,15846,4270,3375,14965,348,348,6568,1883,2482,4378,1006,3738,15902,4293,1441,4870,19301,9383,1654,987,1775,8258,4314,5437,2105,961,3940,190,3961,712,4413,1749,7596,348,467,1198,6900,1162,2561,1499,16657,1585,616,22760,2208,15758,7016,362,14850,5448,11658,521,585,19737,3935,1070,7027,723,25456,9451,4962,2052,8123,2732,2034,1825,17791,2419,57,819,20623,2971,15113,18631,19154,2305,3600,18792,4340,3210,5833,2424,1457,3602,560,20802,258,21544,923,21140,257,1107,12815,1741,66,21091,13397,261,2845,5891,9153,615,1456,21276,18179,16873,6954,81
"82",1554,18005,2957,11247,2925,20997,5846,3962,7717,1911,351,7513,1003,5861,6483,14742,4570,810,4515,194,10339,3026,2120,8954,2739,13686,19332,463,2209,1089,159,8789,2507,751,9868,13074,1018,3854,7566,19739,1220,18126,219,16490,7031,1702,364,4144,19539,1293,15723,4220,3346,14814,339,347,6736,1872,2471,4323,996,3697,15765,4251,1433,4810,19088,9292,1645,982,1757,8206,4278,5404,2084,951,3911,186,3929,707,4359,1705,7547,339,462,1188,6845,1157,2544,1485,16483,1566,611,22516,2182,15605,6959,359,14739,5389,11533,515,583,19566,3908,1065,6971,715,25204,9371,4908,2031,8055,2716,2025,1813,17664,2385,36,813,20123,2942,15007,18488,18943,2289,3571,18635,4296,3186,5786,2407,1446,3567,557,20575,249,21400,914,20945,247,1100,12699,1733,66,20938,13290,260,2825,5843,9089,605,1436,21059,18004,16769,6886,82
"83",1544,17876,2941,11148,2901,20828,5798,3932,7668,1903,346,7462,995,5829,6424,14635,4536,807,4485,194,10231,3004,2098,8877,2707,13313,19134,462,2196,1085,158,8707,2487,746,9785,12927,1012,3825,7452,19557,1213,17981,218,16327,6967,1682,363,4116,19394,1280,15558,4182,3322,14676,329,346,6417,1858,2451,4282,985,3648,15622,4212,1423,4747,18931,9217,1630,972,1743,8132,4240,5364,2067,945,3884,186,3887,704,4321,1696,7475,338,446,1179,6791,1147,2529,1474,16064,1547,607,22342,2158,15421,6918,358,14600,5323,11427,505,576,19437,3872,1046,6911,709,24964,9303,4852,2015,8007,2695,2015,1802,17542,2302,41,810,20155,2917,14896,18374,18716,2262,3547,18483,4263,3159,5745,2391,1442,3526,555,20356,247,21283,908,20768,244,1090,12599,1727,64,20809,13191,256,2800,5794,9004,597,1427,20805,17867,16665,6823,83
"84",1534,17758,2897,11047,2889,20656,5746,3902,7618,1896,343,7416,982,5800,6373,14483,4491,802,4441,189,10128,2983,2080,8814,2682,12962,18925,457,2179,1075,158,8657,2466,742,9695,12809,1003,3794,7376,19395,1206,17859,216,16186,6892,1664,355,4087,19254,1264,15433,4144,3293,14558,328,345,6605,1842,2424,4255,980,3613,15487,4177,1408,4704,18771,9143,1618,963,1730,8068,4204,5326,2027,943,3851,185,3853,702,4277,1667,7406,334,443,1167,6741,1129,2508,1465,15645,1533,603,22131,2135,15258,6868,352,14497,5285,11266,501,571,19257,3833,1036,6868,704,24706,9213,4812,1994,7940,2677,1994,1785,17422,2308,46,806,19733,2870,14783,18238,18193,2245,3524,18341,4222,3136,5698,2368,1432,3502,550,20150,245,21137,903,20582,241,1079,12528,1717,53,20666,13068,253,2779,5739,8938,594,1421,20585,17704,16559,6776,84
"85",1518,17613,2874,10969,2869,20491,5704,3868,7559,1890,342,7367,978,5766,6305,14372,4454,792,4411,189,10062,2942,2068,8757,2632,13300,18737,454,2167,1063,155,8581,2455,739,9587,12686,996,3777,7289,19209,1186,17721,216,16039,6817,1656,354,4058,19121,1254,15301,4118,3275,14403,328,344,6316,1827,2411,4210,972,3576,15373,4114,1400,4666,18653,9075,1605,960,1715,7999,4174,5277,2008,935,3822,182,3820,697,4228,1656,7351,332,440,1163,6697,1119,2484,1453,15977,1513,596,21945,2121,15088,6817,351,14371,5240,11161,495,567,19118,3801,1016,6669,700,24498,9116,4763,1982,7658,2658,1985,1768,17273,2289,48,803,19758,2828,14675,18133,18255,2215,3502,18208,4195,3115,5651,2340,1418,3461,545,19945,244,20973,896,20371,238,1070,12435,1704,53,20529,12955,253,2750,5705,8877,586,1416,20393,17546,16440,6704,85
